ano_compra;nome_instituicao;cnpj_instituicao;municipio_instituicao;uf;compra;insercao;codigo_br;descricao_catmat;unidade_fornecimento;generico;anvisa;modalidade_compra;tipo_compra;capacidade;unidade_medida;unidade_fornecimento_capacidade;cnpj_fornecedor;fornecedor;cnpj_fabricante;fabricante;qtd_itens_comprados;preco_unitario;preco_total;arquivo;pk;dt_criacao_registro
2025;MUNICIPIO DE DOURADOQUARA;18200000000000;DOURADOQUARA;MG;2025/01/02 00:00:00.000;2025/04/15 00:00:00.000;267311;METOCLOPRAMIDA CLORIDRATO, DOSAGEM:4 MG/ML, APRESENTAÇÃO:SOLUÇÃO ORAL;FRASCO;S;1,06E+12;Registro de Preços;ADMINISTRATIVA;10;ML;FRASCO 10.00 ML;12900000000000;SOMA/MG PRODUTOS HOSPITALARES LTDA;18300000000000;BELFAR LTDA;100;14.659;146.59;Extracao_Novo_BPS_2025.xlsx;1;2025/07/29 13:20:05.738
2025;SECRETARIA DE ESTADO DE SAUDE - SES;42500000000000;RIO DE JANEIRO;RJ;2025/01/02 00:00:00.000;2025/04/25 00:00:00.000;269843;LIDOCAÍNA CLORIDRATO, DOSAGEM:2%, APRESENTAÇÃO:INJETÁVEL;AMPOLA;N;1,04E+12;Pregão;ADMINISTRATIVA;5;ML;AMPOLA 5.00 ML;47500000000000;GREEN MED DISTRIBUIDORA E IMPORTADORA DE MEDICAMENTOS E PRODUTOS PARA SAUDE LTDA.;17200000000000;HYPOFARMA INSTITUTO DE HYPODERMIA E FARMACIA LTDA;3659;1.24;4537.16;Extracao_Novo_BPS_2025.xlsx;2;2025/07/29 13:20:05.738
2025;MUNICIPIO DE DOURADOQUARA;18200000000000;DOURADOQUARA;MG;2025/01/02 00:00:00.000;2025/04/15 00:00:00.000;294887;SALBUTAMOL, DOSAGEM:100MCG/DOSE, FORMA FARMACÊUTICA:AEROSOL ORAL;FRASCO;N;1,17E+12;Registro de Preços;ADMINISTRATIVA;200;DOSES;FRASCO 200.00 DOSES;12900000000000;SOMA/MG PRODUTOS HOSPITALARES LTDA;25800000000000;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A;70;9.88;691.6;Extracao_Novo_BPS_2025.xlsx;3;2025/07/29 13:20:05.738
2025;MUNICIPIO DE PASSO FUNDO;87600000000000;PASSO FUNDO;RS;2025/01/03 00:00:00.000;2025/03/18 00:00:00.000;268273;NITROFURANTOÍNA, DOSAGEM:100 MG;CÁPSULA;N;1,04E+12;Pregão;ADMINISTRATIVA;;;CÁPSULA;42500000000000;METTA FARMACEUTICA LTDA;17200000000000;LABORATORIO TEUTO BRASILEIRO S/A;185000;0.245;45325;Extracao_Novo_BPS_2025.xlsx;4;2025/07/29 13:20:05.738
2025;MUNICIPIO DE PASSO FUNDO;87600000000000;PASSO FUNDO;RS;2025/01/03 00:00:00.000;2025/03/18 00:00:00.000;273400;ISOSSORBIDA, PRINCÍPIO ATIVO:SAL MONONITRATO, DOSAGEM:20 MG;COMPRIMIDO;S;1,57E+12;Pregão;ADMINISTRATIVA;;;COMPRIMIDO;12900000000000;INOVAMED HOSPITALAR LTDA;5250000000000;ZYDUS NIKKHO FARMACEUTICA LTDA;140000;0.1599;22386;Extracao_Novo_BPS_2025.xlsx;5;2025/07/29 13:20:05.738
2025;MUNICIPIO DE PASSO FUNDO;87600000000000;PASSO FUNDO;RS;2025/01/03 00:00:00.000;2025/03/18 00:00:00.000;268493;DOXAZOSINA MESILATO, COMPOSIÇÃO:2 MG;COMPRIMIDO;N;1,02E+12;Pregão;ADMINISTRATIVA;;;COMPRIMIDO;6290000000000;RS - PRODUTOS HOSPITALARES LTDA;57500000000000;EMS S/A;250000;0.088;22000;Extracao_Novo_BPS_2025.xlsx;6;2025/07/29 13:20:05.738
2025;MUNICIPIO DE PASSO FUNDO;87600000000000;PASSO FUNDO;RS;2025/01/03 00:00:00.000;2025/03/18 00:00:00.000;267651;ENALAPRIL MALEATO, DOSAGEM:10 MG;COMPRIMIDO;N;1,44E+12;Pregão;ADMINISTRATIVA;;;COMPRIMIDO;2810000000000;CIMED INDUSTRIA S.A.;2810000000000;CIMED INDUSTRIA S.A.;1300000;0.025;32500;Extracao_Novo_BPS_2025.xlsx;7;2025/07/29 13:20:05.738
2025;MUNICIPIO DE PASSO FUNDO;87600000000000;PASSO FUNDO;RS;2025/01/03 00:00:00.000;2025/03/18 00:00:00.000;267574;CLORETO DE SÓDIO, DOSAGEM:20%, USO:SOLUÇÃO INJETÁVEL;AMPOLA;N;1,56E+12;Pregão;ADMINISTRATIVA;20;ML;AMPOLA 20.00 ML;40300000000000;CLM FARMA COMERCIO E DISTRIBUIDORA DE MEDICAMENTOS LTDA;4460000000000;SAMTEC BIOTECNOLOGIA LTDA;100;0.49;49;Extracao_Novo_BPS_2025.xlsx;8;2025/07/29 13:20:05.738
2025;MUNICIPIO DE PASSO FUNDO;87600000000000;PASSO FUNDO;RS;2025/01/03 00:00:00.000;2025/03/18 00:00:00.000;267328;FOSFATO DE SÓDIO, APRESENTAÇÃO:ENEMA, DOSAGEM:FOSFATO MONOBáSICO 16% + FOSFATO DIBáSICO 6%;FRASCO;;;Pregão;ADMINISTRATIVA;130;ML;FRASCO 130.00 ML;3650000000000;CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA;1860000000000;AIRELA INDUSTRIA FARMACEUTICA LTDA;80;5.75;460;Extracao_Novo_BPS_2025.xlsx;9;2025/07/29 13:20:05.738
2025;MUNICIPIO DE PASSO FUNDO;87600000000000;PASSO FUNDO;RS;2025/01/03 00:00:00.000;2025/03/18 00:00:00.000;383750;LACTULOSE, CONCENTRAÇÃO:667 MG/ML, FORMA FARMACEUTICA:XAROPE;FRASCO;N;1,02E+12;Pregão;ADMINISTRATIVA;120;ML;FRASCO 120.00 ML;6290000000000;RS - PRODUTOS HOSPITALARES LTDA;57500000000000;EMS S/A;300;3.1;930;Extracao_Novo_BPS_2025.xlsx;10;2025/07/29 13:20:05.738
2025;MUNICIPIO DE PASSO FUNDO;87600000000000;PASSO FUNDO;RS;2025/01/03 00:00:00.000;2025/03/18 00:00:00.000;268225;CARBONATO DE CÁLCIO, DOSAGEM:500 MG;COMPRIMIDO;;;Pregão;ADMINISTRATIVA;;;COMPRIMIDO;22900000000000;TOP NORTE COMERCIO DE MATERIAL MEDICO HOSPITALAR LTDA;37700000000000;IDEATON INDUSTRIA DE SUPLEMENTOS LTDA;850000;0.048;40800;Extracao_Novo_BPS_2025.xlsx;11;2025/07/29 13:20:05.738
2025;MUNICIPIO DE PASSO FUNDO;87600000000000;PASSO FUNDO;RS;2025/01/03 00:00:00.000;2025/03/18 00:00:00.000;304871;MORFINA, APRESENTAÇÃO:SULFATO, CONCENTRAÇÃO:10MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL;AMPOLA;N;1,03E+12;Pregão;ADMINISTRATIVA;1;ML;AMPOLA 1.00 ML;44700000000000;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA;44700000000000;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA;50;2.67;133.5;Extracao_Novo_BPS_2025.xlsx;12;2025/07/29 13:20:05.738
2025;MUNICIPIO DE PASSO FUNDO;87600000000000;PASSO FUNDO;RS;2025/01/03 00:00:00.000;2025/03/18 00:00:00.000;279269;VARFARINA SÓDICA, DOSAGEM:5 MG;COMPRIMIDO;N;1,04E+12;Pregão;ADMINISTRATIVA;;;COMPRIMIDO;5780000000000;CIAMED - DISTRIBUIDORA DE MEDICAMENTOS LTDA.;33300000000000;FARMOQUIMICA S A;100000;0.122;12200;Extracao_Novo_BPS_2025.xlsx;13;2025/07/29 13:20:05.738
2025;MUNICIPIO DE PASSO FUNDO;87600000000000;PASSO FUNDO;RS;2025/01/03 00:00:00.000;2025/03/18 00:00:00.000;342134;HIDROCORTISONA, COMPOSIÇÃO:SAL SUCCINATO SÓDICO, CONCENTRAÇÃO:500 MG, FORMA FARMACÊUTICA:PÓ LIÓFILO P/ INJETÁVEL;FRASCO-AMPOLA;N;1,04E+12;Pregão;ADMINISTRATIVA;;;FRASCO-AMPOLA;2520000000000;DIMASTER - COMERCIO DE PRODUTOS HOSPITALARES LTDA.;17200000000000;LABORATORIO TEUTO BRASILEIRO S/A;600;4.78;2868;Extracao_Novo_BPS_2025.xlsx;14;2025/07/29 13:20:05.738
2025;MUNICIPIO DE PASSO FUNDO;87600000000000;PASSO FUNDO;RS;2025/01/03 00:00:00.000;2025/03/18 00:00:00.000;267666;FUROSEMIDA, COMPOSIÇÃO:10 MG/ML, APRESENTAÇÃO:SOLUÇÃO INJETÁVEL;AMPOLA;S;1,04E+12;Pregão;ADMINISTRATIVA;2;ML;AMPOLA 2.00 ML;94400000000000;MCW PRODUTOS MEDICOS E HOSPITALARES LTDA;17200000000000;HYPOFARMA INSTITUTO DE HYPODERMIA E FARMACIA LTDA;350;0.7163;250.705;Extracao_Novo_BPS_2025.xlsx;15;2025/07/29 13:20:05.738
2025;MUNICIPIO DE PASSO FUNDO;87600000000000;PASSO FUNDO;RS;2025/01/03 00:00:00.000;2025/03/18 00:00:00.000;448612;DICLOFENACO, COMPOSIÇÃO:SAL DIETILAMÔNIO, CONCENTRAÇÃO:10 MG/G, FORMA FARMACÊUTICA:GEL;BISNAGA;N;1,44E+12;Pregão;ADMINISTRATIVA;60;G;BISNAGA 60.00 G;12900000000000;INOVAMED HOSPITALAR LTDA;2810000000000;CIMED INDUSTRIA S.A.;10;3.25;32.5;Extracao_Novo_BPS_2025.xlsx;16;2025/07/29 13:20:05.738
2025;MUNICIPIO DE PASSO FUNDO;87600000000000;PASSO FUNDO;RS;2025/01/03 00:00:00.000;2025/03/18 00:00:00.000;268851;NORFLOXACINO, DOSAGEM:400 MG;COMPRIMIDO;S;1,17E+12;Pregão;ADMINISTRATIVA;;;COMPRIMIDO;6290000000000;RS - PRODUTOS HOSPITALARES LTDA;25800000000000;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A;31500;0.32;10080;Extracao_Novo_BPS_2025.xlsx;17;2025/07/29 13:20:05.738
2025;MUNICIPIO DE PASSO FUNDO;87600000000000;PASSO FUNDO;RS;2025/01/03 00:00:00.000;2025/03/18 00:00:00.000;271036;DOXICICLINA, DOSAGEM:100 MG;COMPRIMIDO;S;1,00E+12;Pregão;ADMINISTRATIVA;;;COMPRIMIDO;5780000000000;CIAMED - DISTRIBUIDORA DE MEDICAMENTOS LTDA.;61300000000000;SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA.;254000;0.262;66548;Extracao_Novo_BPS_2025.xlsx;18;2025/07/29 13:20:05.738
2025;MUNICIPIO DE PASSO FUNDO;87600000000000;PASSO FUNDO;RS;2025/01/03 00:00:00.000;2025/03/18 00:00:00.000;267643;DEXAMETASONA, DOSAGEM:0,1%, APRESENTAÇÃO:CREME;BISNAGA;S;1,26E+12;Pregão;ADMINISTRATIVA;10;G;BISNAGA 10.00 G;3650000000000;CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA;73900000000000;PRATI, DONADUZZI & CIA LTDA;15000;1.3;19500;Extracao_Novo_BPS_2025.xlsx;19;2025/07/29 13:20:05.738
2025;MUNICIPIO DE PASSO FUNDO;87600000000000;PASSO FUNDO;RS;2025/01/03 00:00:00.000;2025/03/18 00:00:00.000;267283;ESCOPOLAMINA BUTILBROMETO, DOSAGEM:10 MG;DRÁGEA;N;1,78E+12;Pregão;ADMINISTRATIVA;;;DRÁGEA;3650000000000;CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA;61100000000000;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;130000;0.465;60450;Extracao_Novo_BPS_2025.xlsx;20;2025/07/29 13:20:05.738
2025;MUNICIPIO DE PASSO FUNDO;87600000000000;PASSO FUNDO;RS;2025/01/03 00:00:00.000;2025/03/18 00:00:00.000;271581;TOBRAMICINA, DOSAGEM:0,3%, APRESENTAÇÃO:SOLUÇÃO OFTÁLMICA;FRASCO;S;1,54E+12;Pregão;ADMINISTRATIVA;5;ML;FRASCO 5.00 ML;6290000000000;RS - PRODUTOS HOSPITALARES LTDA;3490000000000;GEOLAB INDUSTRIA FARMACEUTICA S/A;2000;4.8;9600;Extracao_Novo_BPS_2025.xlsx;21;2025/07/29 13:20:05.738
