ano_compra,nome_instituicao,cnpj_instituicao,municipio_instituicao,uf,compra,insercao,codigo_br,descricao_catmat,unidade_fornecimento,generico,modalidade_compra,tipo_compra,unidade_fornecimento_capacidade,cnpj_fornecedor,fornecedor,cnpj_fabricante,fabricante,qtd_itens_comprados,preco_unitario,preco_total,pk,dt_criacao_registro
2025,MUNICIPIO DE DOURADOQUARA,18158261000108,DOURADOQUARA,MG,2025/01/02 00:00:00.000,2025/04/15 00:00:00.000,267311,"METOCLOPRAMIDA CLORIDRATO, DOSAGEM:4 MG/ML, APRESENTAÇÃO:SOLUÇÃO ORAL",FRASCO,S,Registro de Preços,ADMINISTRATIVA,FRASCO 10.00 ML,12927876000167,SOMA/MG PRODUTOS HOSPITALARES LTDA,18324343000177,BELFAR LTDA,100,1.4659,146.59,1,2025/07/29 13:20:05.738
2025,SECRETARIA DE ESTADO DE SAUDE - SES,42498717000155,RIO DE JANEIRO,RJ,2025/01/02 00:00:00.000,2025/04/25 00:00:00.000,269843,"LIDOCAÍNA CLORIDRATO, DOSAGEM:2%, APRESENTAÇÃO:INJETÁVEL",AMPOLA,N,Pregão,ADMINISTRATIVA,AMPOLA 5.00 ML,47454600000193,GREEN MED DISTRIBUIDORA E IMPORTADORA DE MEDICAMENTOS E PRODUTOS PARA SAUDE LTDA.,17174657000178,HYPOFARMA INSTITUTO DE HYPODERMIA E FARMACIA LTDA,3659,1.24,4537.16,2,2025/07/29 13:20:05.738
2025,MUNICIPIO DE DOURADOQUARA,18158261000108,DOURADOQUARA,MG,2025/01/02 00:00:00.000,2025/04/15 00:00:00.000,294887,"SALBUTAMOL, DOSAGEM:100MCG/DOSE, FORMA FARMACÊUTICA:AEROSOL ORAL",FRASCO,N,Registro de Preços,ADMINISTRATIVA,FRASCO 200.00 DOSES,12927876000167,SOMA/MG PRODUTOS HOSPITALARES LTDA,25773037000183,PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A,70,9.88,691.6,3,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,268273,"NITROFURANTOÍNA, DOSAGEM:100 MG",CÁPSULA,N,Pregão,ADMINISTRATIVA,CÁPSULA,42496258000170,METTA FARMACEUTICA LTDA,17159229000176,LABORATORIO TEUTO BRASILEIRO S/A,185000,0.245,45325.0,4,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,273400,"ISOSSORBIDA, PRINCÍPIO ATIVO:SAL MONONITRATO, DOSAGEM:20 MG",COMPRIMIDO,S,Pregão,ADMINISTRATIVA,COMPRIMIDO,12889035000102,INOVAMED HOSPITALAR LTDA,5254971000181,ZYDUS NIKKHO FARMACEUTICA LTDA,140000,0.1599,22386.0,5,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,268493,"DOXAZOSINA MESILATO, COMPOSIÇÃO:2 MG",COMPRIMIDO,N,Pregão,ADMINISTRATIVA,COMPRIMIDO,6294126000100,RS - PRODUTOS HOSPITALARES LTDA,57507378000365,EMS S/A,250000,0.088,22000.0,6,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,267651,"ENALAPRIL MALEATO, DOSAGEM:10 MG",COMPRIMIDO,N,Pregão,ADMINISTRATIVA,COMPRIMIDO,2814497000700,CIMED INDUSTRIA S.A.,2814497000107,CIMED INDUSTRIA S.A.,1300000,0.025,32500.0,7,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,267574,"CLORETO DE SÓDIO, DOSAGEM:20%, USO:SOLUÇÃO INJETÁVEL",AMPOLA,N,Pregão,ADMINISTRATIVA,AMPOLA 20.00 ML,40274237000185,CLM FARMA COMERCIO E DISTRIBUIDORA DE MEDICAMENTOS LTDA,4459117000199,SAMTEC BIOTECNOLOGIA LTDA,100,0.49,49.0,8,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,267328,"FOSFATO DE SÓDIO, APRESENTAÇÃO:ENEMA, DOSAGEM:FOSFATO MONOBáSICO 16% + FOSFATO DIBáSICO 6%",FRASCO,Desconhecido,Pregão,ADMINISTRATIVA,FRASCO 130.00 ML,3652030000170,CENTERMEDI-COMERCIO DE PRODUTOS HOSPITALARES LTDA,1858970000000,AIRELA INDUSTRIA FARMACEUTICA LTDA,80,5.75,460.0,9,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,383750,"LACTULOSE, CONCENTRAÇÃO:667 MG/ML, FORMA FARMACEUTICA:XAROPE",FRASCO,N,Pregão,ADMINISTRATIVA,FRASCO 120.00 ML,6294126000100,RS - PRODUTOS HOSPITALARES LTDA,57507378000365,EMS S/A,300,3.1,930.0,10,2025/07/29 13:20:05.738
2025,MUNICIPIO DE PASSO FUNDO,87612537000190,PASSO FUNDO,RS,2025/01/03 00:00:00.000,2025/03/18 00:00:00.000,268225,"CARBONATO DE CÁLCIO, DOSAGEM:500 MG",COMPRIMIDO,Desconhecido,Pregão,ADMINISTRATIVA,COMPRIMIDO,22862531000126,TOP NORTE COMERCIO DE MATERIAL MEDICO HOSPITALAR LTDA,37696646000165,IDEATON INDUSTRIA DE SUPLEMENTOS LTDA,850000,0.048,40800.0,11,2025/07/29 13:20:05.738
